id,key,type,value
101741561,highway,regular,residential
101741562,highway,regular,residential
101741562,name,regular,Tarak Dutta Road
101741566,bridge,regular,yes
101741566,highway,regular,secondary
101741566,layer,regular,1
101741566,maxspeed,regular,40
101741566,name,regular,Kalikapur Road (Prince Anwar Shah Bypass Connector)
101741569,highway,regular,residential
101741570,highway,regular,residential
101741573,highway,regular,residential
101741576,highway,regular,residential
101741578,highway,regular,residential
101741585,highway,regular,residential
101741589,highway,regular,residential
101741591,highway,regular,residential
101741591,name,regular,Balu Hakak Lane
101741595,highway,regular,residential
101741602,highway,regular,residential
101741604,highway,regular,residential
101741607,highway,regular,residential
101741611,highway,regular,residential
101741611,name,regular,Maharaja Tagore Road
101741622,highway,regular,residential
101741624,highway,regular,residential
101741631,highway,regular,residential
101741638,highway,regular,residential
101741653,highway,regular,residential
101741654,highway,regular,residential
101741668,highway,regular,residential
101741671,highway,regular,residential
101741671,name,regular,Jheel Road
101741673,landuse,regular,cemetery
101741673,name,regular,Tollygunge Christian Cemetery
101741678,highway,regular,residential
101741686,highway,regular,tertiary
101741686,name,regular,Ahiripukur Road
101741690,highway,regular,residential
101741694,highway,regular,residential
101741698,highway,regular,residential
101741709,highway,regular,residential
101741711,highway,regular,residential
101741718,highway,regular,residential
101741724,natural,regular,water
101741740,highway,regular,residential
101741741,highway,regular,residential
101741742,highway,regular,tertiary
101741742,name,regular,Baikuntha Ghosh Road
101741757,highway,regular,residential
101741760,highway,regular,residential
101741766,highway,regular,residential
101741769,highway,regular,residential
101741769,name,regular,Golf Club Road
101741770,highway,regular,residential
101741777,highway,regular,residential
101741777,name,regular,Dakuria Kali Bari Lane
101741784,highway,regular,residential
101741784,name,regular,Babu Bagan Lane
101741785,highway,regular,residential
101741791,highway,regular,residential
101741795,highway,regular,residential
101741799,highway,regular,residential
101741801,highway,regular,residential
101741810,highway,regular,residential
101741810,name,regular,Pervez Sahidi Range
101741812,highway,regular,residential
101741812,name,regular,Russa Road 1st Lane
101741815,highway,regular,service
101741816,highway,regular,service
101741817,highway,regular,tertiary
101741817,name,regular,Jheel Road
101741818,highway,regular,residential
101741818,name,regular,West Range
101741820,highway,regular,residential
101741820,name,regular,Russa Road 2nd Lane
